RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,50,0,0,0,,0
45.4,30.58958,10,0,70.1194,discharging,95
49.26,31.93034,10.01,8,70.1445,discharging,95
54.034,30.2993,10.04,30,70.1896,discharging,95
55.73059,21.94021,10.08,47,70.0786,discharging,95
59.95753,31.499,10.11,88,70.0583,discharging,95
61.36178,28.67663,10.12,52,70.0047,discharging,95
61.6256,27.66327,10.17,45,70.0041,discharging,95
66.06303,30.87377,10.19,59,70.0445,discharging,95
69.25673,29.81544,10.23,25,69.9621,discharging,95
68.73106,31.46283,10.28,35,70.038,discharging,95
66.95795,48.48498,10.28,43,70.0429,discharging,95
69.36215,37.12494,10.34,78,70.344,discharging,95
67.32594,32.05247,10.39,75,71.0225,discharging,95
69.29334,35.46346,10.41,94,71.0844,discharging,95
66.86401,7.049223,10.43,92,71.139,discharging,95
68.3776,30.04757,10.44,87,69.9475,discharging,95
69.03984,29.00854,10.47,62,69.8269,discharging,95
72.53586,30.71048,10.52,70,69.7834,discharging,95
72.98227,30.70252,10.57,78,69.8582,discharging,95
76.78404,27.91017,10.62,69,69.8401,discharging,95
