RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,30.42776,0,0,0,0,60
65.6,31.4124,2.56,50,40.7724,14.862,116
76.64,28.94158,2.56,54,40.649,14.862,176
83.076,28.95611,2.56,60,40.5139,14.862,141
89.0684,30.10894,2.56,89,40.648,14.862,143
100.8616,29.01457,2.57,82,40.5984,14.862,207
101.3754,29.52919,2.57,79,40.6016,14.862,106
109.0379,22.49131,2.57,81,40.4722,14.862,178
112.0341,26.76253,2.57,85,40.5637,14.862,139
121.1307,25.12433,2.57,56,40.3864,14.862,203
119.1176,29.21193,2.57,87,40.4525,14.862,101
124.5058,29.00462,2.58,90,40.3578,28.307,173
122.6552,28.38376,2.58,60,40.3927,28.307,106
127.6897,29.70209,2.58,92,40.3737,28.307,173
129.5207,28.67983,2.58,80,40.3133,28.307,146
133.9687,30.44587,2.58,69,40.3437,28.307,174
134.6718,28.7781,2.58,58,40.247,28.307,141
141.7046,28.89532,2.59,59,40.2369,28.307,205
145.0341,29.53777,2.59,92,40.2289,28.307,175
137.7307,18.89398,2.59,55,40.2369,28.307,72
143.8576,28.70365,2.59,75,40.2824,28.307,199
136.6719,30.84135,2.59,86,40.2229,28.307,72
137.1047,28.47077,2.6,57,40.2152,28.307,141
137.3942,30.72935,2.6,68,40.3283,28.307,140
137.6548,30.42301,2.6,56,40.3965,28.307,140
135.5893,29.85556,2.6,81,40.4639,28.307,117
141.7304,35.72814,2.6,87,40.5149,28.307,197
135.4573,28.86044,2.61,81,40.336,32.104,79
129.4116,27.7825,2.61,73,40.3285,32.104,75
130.7704,29.71107,2.61,56,40.3046,32.104,143
138.7934,30.78015,2.61,86,40.3327,32.104,211
132.8141,30.64918,2.61,57,40.3898,32.104,79
133.8326,29.74952,2.62,63,40.3037,32.104,143
135.5494,30.58592,2.62,82,40.2268,32.104,151
142.7944,30.95263,2.62,57,40.3111,32.104,208
139.315,30.01783,2.62,90,40.4001,32.104,108
143.2835,28.74633,2.62,79,40.4994,32.104,179
136.3551,30.14391,2.63,75,40.4149,32.104,74
137.1196,29.81355,2.63,82,40.3579,32.104,144
138.2077,29.00774,2.63,82,40.3711,32.104,148
145.0869,50.31767,2.63,93,40.3598,32.104,207
142.3782,29.70139,2.63,79,40.4133,32.104,118
146.5404,29.01286,2.63,86,40.45,32.104,184
149.1863,30.23858,2.64,56,40.5077,32.104,173
148.2677,29.00872,2.64,77,40.5276,32.104,140
147.4409,26.79295,2.64,55,40.3685,32.104,140
153.3968,30.68276,2.64,56,40.2088,32.104,207
