RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
148.6571,31.78085,2.64,91,40.3305,32.104,106
151.1914,31.43971,2.64,60,40.2895,32.104,174
143.3723,31.02418,2.64,73,40.33,32.104,73
143.035,29.06875,2.65,55,40.3471,32.104,140
132.8315,30.24277,2.65,59,40.2977,32.104,41
140.6484,30.03881,2.65,86,40.3554,32.104,211
137.0835,28.57444,2.65,59,40.4042,32.104,105
140.5752,36.27411,2.66,76,40.5269,32.104,172
134.5177,30.6849,2.66,81,40.4838,32.104,80
138.6659,28.89814,2.66,60,40.4331,32.669,176
139.1993,29.01195,2.66,93,40.5805,32.669,144
149.1794,30.87685,2.66,57,40.5281,32.669,239
148.4614,30.41714,2.66,79,40.5227,32.669,142
151.6153,28.84929,2.66,52,40.4952,32.669,180
147.0537,30.82069,2.67,67,40.3902,32.669,106
136.5484,35.82537,2.67,54,40.3746,32.669,42
134.6935,28.9748,2.67,81,40.3798,32.669,118
135.5242,30.72459,2.68,89,40.2873,32.669,143
129.2717,30.64051,2.68,54,40.2775,32.669,73
127.2446,30.94466,2.68,70,40.2905,32.669,109
118.7201,28.90756,2.68,55,40.3458,32.669,42
114.0481,30.87807,2.68,57,40.4246,32.669,72
120.2433,29.6431,2.69,91,40.4107,32.669,176
123.419,28.93554,2.69,80,40.5673,32.669,152
131.677,30.24186,2.69,78,40.5723,35.077,206
130.2093,30.79767,2.69,81,40.5285,35.077,117
135.5884,28.90791,2.69,60,40.4258,35.077,184
129.4296,18.80036,2.7,93,40.3036,35.077,74
139.3866,30.74932,2.7,73,40.2668,35.077,229
140.4479,30.86768,2.7,86,40.3444,35.077,150
147.1031,29.6451,2.7,55,40.3653,35.077,207
142.3928,29.67756,2.7,81,40.4084,35.077,100
145.6535,30.34145,2.71,57,40.3789,35.077,175
138.3882,29.78504,2.71,56,40.4115,35.077,73
148.7494,30.22381,2.71,86,40.3922,35.077,242
148.1744,30.34645,2.71,79,40.2503,35.077,143
150.557,30.60846,2.71,87,40.2802,35.077,172
139.7013,20.34568,2.72,52,40.2468,35.077,42
135.5311,29.08161,2.72,68,40.2919,35.077,98
139.278,31.62719,2.72,56,40.3317,35.077,173
136.4502,30.96433,2.72,70,40.4346,35.077,111
127.0052,29.87693,2.72,55,40.3069,35.077,42
130.9047,29.23372,2.72,82,40.2917,35.077,166
125.1142,29.34226,2.73,92,40.344,35.077,73
136.7028,31.69182,2.73,57,40.303,35.077,241
137.2325,28.36795,2.73,78,40.291,35.077,142
144.0092,28.82383,2.73,55,40.4629,35.077,206
140.3083,29.00541,2.73,61,40.3641,35.077,107
143.5775,29.97988,2.73,93,40.3522,35.077,173
136.7197,29.61834,2.74,56,40.3216,35.077,75
146.2478,29.52552,2.74,86,40.3711,35.077,232
145.723,30.8748,2.74,55,40.3339,35.077,141
151.8507,29.01661,2.74,65,40.348,35.077,207
147.3656,30.18907,2.75,53,40.3298,63.054,108
150.529,31.0143,2.75,79,40.3806,63.054,179
142.8761,28.84315,2.75,88,40.4945,63.054,74
142.6885,30.73119,2.75,55,40.4932,63.054,141
142.9196,30.97945,2.75,86,40.4306,63.054,145
139.5277,30.75377,2.75,53,40.4237,63.054,109
146.0749,36.49012,2.75,57,40.4117,63.054,205
139.2674,30.76916,2.76,81,40.384,63.054,78
136.1407,29.2172,2.76,55,40.4965,63.054,108
136.6266,33.60291,2.76,76,40.6187,63.054,141
139.8639,26.10925,2.77,78,40.7057,63.054,169
139.8775,31.0873,2.77,57,41.1109,63.054,140
146.4898,32.4089,2.77,92,40.8936,63.054,206
150.3408,34.98122,2.77,75,41.1316,62.795,185
152.2067,29.32418,2.77,85,40.9444,62.795,169
154.086,22.47375,2.78,58,40.8986,62.795,171
161.7774,31.06735,2.78,75,40.9981,62.795,231
159.5997,31.27135,2.78,91,40.7697,62.795,140
164.1397,21.57455,2.78,57,40.7801,62.795,205
157.3257,29.44477,2.79,85,40.8543,62.795,96
155.3931,37.14685,2.79,59,40.8015,62.795,138
153.5538,31.32129,2.79,86,40.6857,62.795,137
162.1984,31.13747,2.79,58,40.7071,62.795,240
156.6786,36.82827,2.79,63,40.7745,62.795,107
161.3107,33.62947,2.79,79,40.702,62.795,203
152.4796,29.45456,2.79,77,40.6031,62.795,73
154.4317,36.94742,2.8,82,40.672,62.795,172
153.5885,29.15135,2.8,77,40.8307,62.795,146
161.9296,29.21827,2.8,69,41.0924,62.795,237
157.1367,59.30763,2.8,67,40.8124,62.795,114
159.023,25.07734,2.8,63,40.8096,62.795,176
150.5207,31.34893,2.81,54,40.7579,62.795,74
153.0686,31.32241,2.81,53,40.8374,62.795,176
151.9617,28.5485,2.81,91,40.7869,62.795,142
157.4656,29.62046,2.81,54,40.7964,62.795,207
152.519,30.28722,2.81,70,40.7183,62.795,108
155.2671,30.55788,2.81,49,40.748,62.795,180
147.1404,26.81042,2.82,62,40.7938,62.795,74
157.7263,30.18241,2.82,54,40.7038,62.795,253
156.1537,29.85879,2.82,53,40.7286,62.795,142
160.9383,29.97481,2.82,86,40.6823,62.795,204
162.3445,31.57648,2.82,53,40.5976,31.832,175
163.61,30.5811,2.83,73,40.5724,31.832,175
154.149,31.34755,2.83,51,40.6764,31.832,69
163.0341,23.45309,2.83,60,40.833,31.832,243
159.5307,31.44926,2.84,49,40.6809,31.832,128
164.6776,49.076,2.84,58,40.5751,31.832,211
159.4099,30.08558,2.84,78,40.6507,31.832,112
161.3689,31.667,2.84,52,40.6504,31.832,180
152.732,29.55248,2.84,72,40.5693,31.832,75
161.6588,31.37222,2.84,51,40.5307,31.832,242
159.7929,27.54865,2.84,58,40.5911,31.832,143
160.7136,28.74432,2.85,82,40.0402,31.832,169
151.9422,31.06312,2.85,58,40.1063,31.832,73
150.948,30.00742,2.85,91,40.1894,31.832,142
160.0532,28.13794,2.85,53,40.1409,36.648,242
154.9479,29.86261,2.85,86,40.1638,36.648,109
160.1531,27.19188,2.85,53,40.1472,36.648,207
152.8378,31.43948,2.86,82,40.0027,36.648,87
148.554,29.80085,2.86,90,39.9859,36.648,110
147.6986,30.3052,2.86,53,39.9558,36.648,140
137.1287,29.86499,2.86,86,39.9685,36.648,42
134.2159,43.89083,2.86,54,40.0586,36.648,108
142.5943,28.29344,2.86,88,39.9996,36.648,218
135.7348,36.15056,2.87,52,39.9769,36.648,74
140.3613,37.48883,2.87,79,40.0176,36.648,182
139.2252,30.51528,2.87,85,40.0023,36.648,129
149.3027,30.82564,2.87,55,39.9769,36.648,240
145.2724,28.1304,2.87,80,39.9904,36.648,109
148.7452,30.44488,2.88,81,39.9906,36.648,180
141.3706,27.92261,2.88,67,39.9251,36.648,75
141.5336,29.18455,2.88,84,39.9591,36.648,143
141.6802,23.97192,2.88,82,40.0844,36.648,143
147.5122,30.91792,2.88,74,40.1365,36.648,200
143.461,29.07041,2.88,55,40.0478,36.648,107
145.9149,29.05359,2.89,86,39.9663,36.648,168
139.5234,35.06998,2.89,84,40.0171,36.648,82
150.671,30.65336,2.89,76,39.9558,36.648,251
149.9039,28.82039,2.89,93,39.9004,36.648,143
155.2135,30.44879,2.89,81,39.8731,36.648,203
150.5922,72.28996,2.9,84,40.0173,36.648,109
153.6329,28.70878,2.9,82,40.0636,36.648,181
145.6696,37.9363,2.9,68,40.0011,36.648,74
146.2027,30.57081,2.9,79,39.9927,65.265,151
145.5824,28.64606,2.9,58,39.9784,65.265,140
151.5242,32.82137,2.91,87,39.9263,65.265,205
147.1718,29.09056,2.91,74,39.9902,65.265,108
149.8546,41.35264,2.91,78,39.8722,65.265,174
142.2691,29.4992,2.91,56,39.9006,65.265,74
152.0422,31.55392,2.91,60,39.9388,65.265,240
150.838,28.90838,2.91,92,40.0251,65.265,140
156.4542,31.47771,2.91,56,40.0988,65.265,207
154.9087,29.09671,2.92,76,40.2107,65.265,141
156.9179,29.9537,2.92,53,40.1315,65.265,175
149.0261,30.81966,2.92,66,40.0165,65.265,78
148.5235,30.21183,2.92,50,39.9475,65.265,144
144.8711,30.992,2.92,57,39.9271,65.24,112
141.284,27.00307,2.92,92,39.9213,65.24,109
145.5556,29.20737,2.93,87,39.9031,65.24,184
144.8,28.84058,2.93,56,39.8892,65.24,138
