RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,30.04113,0,0,0,0,60
60,28.73216,5.03,72,33.1718,14.895,60
60,19.73516,5.04,55,31.8667,14.895,60
60,30.56418,5.06,87,31.8301,14.895,60
60,29.88554,5.08,57,31.8883,14.895,60
60,30.61917,5.09,86,31.9569,14.895,60
60,30.46143,5.09,55,31.9586,14.895,60
60,30.67696,5.11,67,31.792,60.912,60
60,18.98347,5.13,94,31.7701,60.912,60
60,30.61454,5.14,77,31.906,60.912,60
60,30.43726,5.15,92,31.8635,60.912,60
60,28.82702,5.15,81,31.7429,60.912,60
60,30.76433,5.16,75,31.7989,60.912,60
60,28.82696,5.17,52,31.9104,60.912,60
60,30.6109,5.18,57,31.8632,60.912,60
60,25.98507,5.19,92,31.8668,60.912,60
60,30.53515,5.19,74,31.8273,60.912,60
60,28.62645,5.19,76,31.8134,60.912,60
60,30.47519,5.2,54,31.69,60.912,60
60,28.72226,5.23,60,31.88,60.912,60
60,36.57907,5.24,94,31.8402,60.912,60
