RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,27.20326,0,0,0,,0
44.2,23.29268,10.76,33,69.7803,discharging,95
49.88,22.58974,10.86,78,70.2047,discharging,95
52.792,9.607144,10.91,90,70.0528,discharging,95
55.7128,30.5871,10.97,89,69.728,discharging,95
59.24152,16.23128,11.04,92,69.812,discharging,95
63.81736,17.567,11.08,90,69.7348,discharging,95
70.03563,26.61689,11.13,90,69.8209,discharging,95
68.53207,16.75666,11.19,94,69.7583,discharging,95
72.27886,15.01025,11.23,92,70.0358,discharging,95
76.15097,16.13228,11.27,85,70.1136,discharging,95
77.53587,15.55519,11.32,93,70.2479,discharging,95
79.38229,32.24118,11.36,92,70.2736,discharging,95
77.64406,21.73564,11.43,73,70.3624,discharging,95
