RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,31.63494,0,0,0,0,60
72.2,37.34833,3.49,84,48.3539,15.866,182
85.78,30.68448,3.49,80,48.4276,15.866,208
101.302,44.94515,3.5,88,48.429,42.484,241
109.6718,29.24507,3.51,81,48.4447,42.484,185
119.1046,28.23611,3.51,81,48.322,42.484,204
125.1941,30.42149,3.52,82,48.4587,42.484,180
119.9747,27.91181,3.52,62,48.4481,42.484,73
122.9773,44.62329,3.53,87,48.4114,42.484,150
126.3795,31.2609,3.53,83,48.3958,42.484,157
134.4416,27.15069,3.53,87,48.306,42.484,207
131.3974,31.74194,3.54,52,48.2756,42.484,104
135.4577,31.10081,3.54,65,48.2792,42.484,172
132.5119,31.04159,3.55,89,48.2212,42.484,107
133.1607,31.02463,3.55,57,48.2827,42.484,139
137.1446,28.541,3.56,82,48.3645,42.484,173
137.3302,30.95902,3.57,55,48.272,42.484,139
137.3972,28.9159,3.57,63,48.1132,42.484,138
134.2574,29.80972,3.58,92,48.0228,42.484,106
137.9317,30.34329,3.59,55,48.0544,42.484,171
131.3385,18.1894,3.6,79,47.9864,42.484,72
134.6047,30.15072,3.6,74,47.9688,42.484,164
131.9442,31.70783,3.6,91,47.9567,42.484,108
137.3498,30.18877,3.61,43,48.0037,42.484,186
130.8148,29.47193,3.62,83,48.0467,42.484,72
141.9333,31.61765,3.62,55,47.9698,42.484,242
142.44,30.02515,3.63,64,48.0043,42.484,147
148.796,29.01378,3.63,91,48.0285,42.484,206
144.3164,30.5277,3.64,80,48.0834,59.045,104
143.8847,28.96969,3.64,83,48.0589,59.045,140
137.6963,29.41954,3.65,81,48.0924,59.045,82
137.8266,31.11014,3.65,68,48.0043,59.045,139
138.144,48.67064,3.66,91,48.0338,59.045,141
148.8296,29.68262,3.66,81,48.0432,59.045,245
144.4466,31.19147,3.67,87,47.9637,59.045,105
147.4019,29.12588,3.67,54,47.9393,59.045,174
140.9617,30.42615,3.68,86,47.8901,59.045,83
140.7656,31.77418,3.68,53,47.8699,59.045,139
140.689,29.46045,3.68,57,47.8744,59.045,140
150.6201,29.16984,3.69,90,47.8865,59.045,240
148.2581,29.21649,3.7,80,47.9332,59.045,127
155.0323,46.69599,3.7,75,47.9914,59.045,216
147.829,30.42686,3.71,81,47.9131,59.045,83
149.8461,31.2405,3.72,60,47.9659,59.045,168
138.8615,28.9852,3.72,91,47.9683,59.045,40
149.7754,36.40939,3.72,81,47.9923,59.045,248
146.9978,30.1084,3.73,84,48.002,59.045,122
152.898,28.9778,3.74,51,48.1052,59.045,206
145.4082,29.7528,3.74,86,48.0358,59.045,78
144.8674,29.70004,3.74,87,48.128,59.045,140
147.6806,29.43729,3.75,81,48.1548,59.045,173
156.8126,35.96328,3.75,88,48.0801,59.045,239
154.4313,36.47783,3.76,56,48.0752,59.045,133
159.7882,31.08443,3.76,84,48.0581,59.045,208
161.1094,29.85238,3.76,91,48.0538,59.045,173
162.4984,28.8423,3.77,55,48.0705,59.045,175
153.3486,31.23559,3.77,91,48.2739,59.045,71
155.3137,30.92677,3.77,50,48.1753,31.554,173
157.0823,28.67067,3.78,68,48.0515,31.554,173
