RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,30.99267,0,0,0,,0
40,30.32658,72,57.1612,0,,0
48.4,30.53288,73,57.8045,0,,0
52.46,29.47007,64,58.0166,0,,0
56.11399,31.90013,68,58.0887,0,,0
59.50259,27.61547,61,58.1781,0,,0
61.85233,33.1778,63,58.4286,0,,0
65.0671,32.04219,59,58.5917,0,,0
66.86039,13.68049,54,58.4636,0,,0
73.17435,28.64198,45,58.7858,0,,0
70.75691,35.4759,61,58.8398,0,,0
68.78122,46.99647,63,58.9302,0,,0
72.6031,31.57888,59,59.4747,0,,0
75.64278,27.19533,67,59.5644,0,,0
74.1785,26.6755,93,59.5765,0,,0
72.46066,33.29515,79,59.6495,0,,0
70.51459,25.62996,95,59.5157,0,,0
73.36313,26.53411,76,59.6831,0,,0
75.12682,28.5539,74,59.7318,0,,0
74.21413,26.75615,92,59.8229,0,,0
72.79272,35.31934,75,59.9702,0,,0
74.61344,32.32875,82,60.0665,0,,0
76.2521,25.85844,82,60.1484,0,,0
77.02689,7.344287,82,60.1845,0,,0
78.52419,31.45954,45,60.1567,0,,0
79.97177,33.0214,80,60.4275,0,,0
77.67459,32.75302,94,60.6885,0,,0
75.60713,26.61773,77,60.6357,0,,0
74.04642,27.35416,93,60.269,0,,0
72.04177,35.63341,76,60.3961,0,,0
70.73759,33.53542,78,60.457,0,,0
75.46384,23.94168,65,60.8798,0,,0
77.11745,36.48716,66,61.0558,0,,0
78.60571,26.20314,89,61.0902,0,,0
77.24513,27.6911,69,61.6093,0,,0
82.02061,34.03273,79,61.6811,0,,0
86.41855,27.00035,79,61.8616,0,,0
87.07669,36.27271,74,61.8662,0,,0
87.66902,29.70565,85,61.858,0,,0
