RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,28.54069,0,0,0,,0
38.7,32.83595,96,57.1657,0,,0
41.43,32.4215,86,57.7999,0,,0
48.087,27.60333,64,57.9728,0,,0
53.2783,25.19072,89,58.0758,0,,0
58.15047,31.64274,61,58.1747,0,,0
61.93542,27.96864,96,58.4767,0,,0
62.44188,26.81789,59,58.691,0,,0
65.19769,38.22258,54,58.563,0,,0
68.77792,31.12228,45,58.8913,0,,0
68.30013,29.73495,61,58.8409,0,,0
69.57011,31.57387,63,58.9444,0,,0
74.1131,29.60485,74,59.3617,0,,0
75.50179,28.08951,97,59.4498,0,,0
77.6516,31.44206,97,59.6282,0,,0
81.78644,9.857312,92,59.4998,0,,0
81.80779,33.59427,97,59.4333,0,,0
82.82701,36.07521,96,59.783,0,,0
83.34431,27.5535,95,59.8307,0,,0
82.70988,37.82895,97,59.8629,0,,0
84.53889,24.45295,97,59.8276,0,,0
87.185,28.45861,82,60.1288,0,,0
86.1665,5.635306,96,60.1821,0,,0
86.94984,38.22258,97,60.178,0,,0
90.35486,25.68809,97,60.1589,0,,0
92.91937,32.28175,96,60.4479,0,,0
92.12743,31.0752,97,60.653,0,,0
94.31469,27.08847,53,60.4878,0,,0
93.48322,31.42446,97,60.4642,0,,0
95.23489,26.0715,92,60.3493,0,,0
94.4114,28.45742,97,60.6162,0,,0
94.77026,29.41389,86,61.0089,0,,0
93.79323,25.30268,97,61.04,0,,0
93.11391,27.29883,96,61.3867,0,,0
92.00252,32.9543,97,61.5851,0,,0
94.10226,32.07003,97,61.6651,0,,0
96.79204,5.831245,86,61.9483,0,,0
97.61283,24.90876,96,62.0598,0,,0
97.15154,31.9157,93,61.7255,0,,0
95.83639,30.75105,89,61.8522,0,,0
