RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,29.81677,0,0,0,0,60
60,29.4794,4.86,90,33.1195,14.895,60
67.8,28.38048,4.87,57,33.1394,14.895,138
65.12,29.96198,4.87,87,33.2056,14.895,41
69.30799,28.67332,4.89,53,33.1405,14.895,107
76.67719,29.38675,4.89,87,33.0938,14.895,143
76.10947,31.64814,4.91,90,33.1294,14.895,71
85.79852,28.88574,4.92,57,33.1449,14.895,173
91.01867,30.73687,4.94,87,33.1536,14.895,138
105.6168,29.05782,4.94,58,33.2158,14.895,237
108.5551,30.2888,4.95,65,33.0986,14.895,135
117.8996,30.64916,4.96,93,33.0528,14.895,202
116.6096,29.99815,4.97,59,33.0513,14.895,105
122.1487,30.09468,4.98,77,33.0762,14.895,172
