RTT,FPS,CPU,GPU,Memory
35,30.32592,0,0,0
40.4,29.7667,7.8,24,85.0611
46.46,30.08325,7.8,44,84.7159
51.61399,29.79596,7.8,27,84.9167
52.95259,30.34194,7.8,35,84.9711
57.55733,30.03254,7.81,46,84.9499
61.6016,30.14344,7.81,28,84.8322
65.34144,30.09531,7.81,40,84.9567
65.4073,29.84668,7.81,47,84.8417
68.66656,30.24166,7.81,27,84.8682
