RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,32.37268,0,0,0,,0
44.3,21.19334,0,0,0,,0
48.27,21.36538,0,0,0,,0
90.743,29.71058,0,0,0,,0
89.8687,26.57618,0,0,0,,0
90.98183,30.93963,0,0,0,,0
90.28365,29.7326,0,0,0,,0
87.25528,30.04928,0,0,0,,0
84.32975,19.18484,0,0,0,,0
84.49677,29.70053,0,0,0,,0
81.64709,21.76177,0,0,0,,0
81.38239,3,0,0,0,,0
173.6441,3,0,0,0,,0
256.4797,3,0,0,0,,0
331.1317,3,0,0,0,,0
398.5186,3,0,0,0,,0
459.1667,3,0,0,0,,0
513.65,3,0,0,0,,0
562.485,3,0,0,0,,0
513.3365,3,0,0,0,,0
562.4028,3,0,0,0,,0
