RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,36.8743,0,0,0,,0
35,30.9003,95,56.4499,0,,0
40.1,31.04111,96,56.3251,0,,0
44.99,30.29508,96,56.4237,0,,0
49.191,30.07257,96,56.3812,0,,0
52.2719,30.36137,96,56.3327,0,,0
55.64471,30.31849,96,56.3216,0,,0
58.68023,26.68837,96,56.51,0,,0
58.21221,31.04367,94,56.8523,0,,0
58.29099,31.15486,96,56.7898,0,,0
57.76189,30.64653,95,56.6346,0,,0
57.3857,30.66037,96,56.6154,0,,0
57.14713,30.26869,95,56.6957,0,,0
60.63241,30.73586,96,57.2778,0,,0
63.06917,27.52956,96,57.1397,0,,0
67.36225,30.58996,79,57.2141,0,,0
69.02602,29.0213,96,57.0164,0,,0
